Data,Piemonte,Valle d'Aosta,Lombardia,Veneto,Friuli Venezia Giulia,Liguria,Emilia-Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna,P.A. Bolzano,P.A. Trento
2020-02-24,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White
2020-03-09,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black
2020-05-04,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow
2020-06-15,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White
2020-10-08,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow,LightYellow
2020-11-06,Red,Red,Red,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Red,Orange,Yellow,Yellow,Yellow
2020-11-09,Red,Red,Red,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Red,Orange,Yellow,Red,Yellow
2020-11-11,Red,Red,Red,Yellow,Yellow,Orange,Yellow,Orange,Orange,Yellow,Yellow,Orange,Yellow,Yellow,Orange,Orange,Red,Orange,Yellow,Red,Orange
2020-11-15,Red,Red,Red,Yellow,Orange,Orange,Orange,Red,Orange,Orange,Yellow,Orange,Yellow,Red,Orange,Orange,Red,Orange,Yellow,Red,Orange
2020-11-18,Red,Red,Red,Yellow,Orange,Orange,Orange,Red,Orange,Orange,Yellow,Red,Yellow,Red,Orange,Orange,Red,Orange,Yellow,Red,Orange
2020-11-29,Orange,Red,Orange,Yellow,Orange,Yellow,Orange,Red,Orange,Orange,Yellow,Red,Yellow,Red,Orange,Orange,Orange,Yellow,Yellow,Red,Yellow
2020-12-06,Orange,Orange,Orange,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Yellow,Yellow,Orange,Yellow,Orange,Yellow,Orange,Orange,Yellow,Yellow,Orange,Yellow
2020-12-12,Orange,Orange,Orange,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Yellow,Yellow,Red,Yellow,Orange,Yellow,Orange,Orange,Yellow,Yellow,Orange,Yellow
2020-12-13,Yellow,Orange,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Yellow,Yellow,Orange,Yellow,Orange,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow
2020-12-20,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Orange,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow
2020-12-24,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red
2020-12-28,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange
2020-12-31,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red
2021-01-04,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange
2021-01-05,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red
2021-01-07,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow
2021-01-09,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange
2021-01-11,Yellow,Yellow,Orange,Orange,Yellow,Yellow,Orange,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Orange,Yellow,Yellow,Yellow
2021-01-17,Orange,Orange,Red,Orange,Orange,Orange,Orange,Yellow,Yellow,Orange,Orange,Orange,Yellow,Yellow,Orange,Yellow,Orange,Red,Yellow,Red,Orange
2021-01-24,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Yellow,Orange,Orange,Orange,Orange,Yellow,Yellow,Orange,Yellow,Orange,Red,Orange,Red,Orange
2021-02-01,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Yellow,Orange,Orange,Orange,Yellow
2021-02-08,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Yellow,Orange,Yellow,Red,Yellow
2021-02-10,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Red,Yellow
2021-02-14,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Orange,Orange,Yellow,Yellow,Orange,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Red,Orange
2021-02-15,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Yellow,Orange,Orange,Yellow,Yellow,Orange,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Red,Orange
2021-02-21,Yellow,Yellow,Yellow,Yellow,Yellow,Orange,Orange,Orange,Orange,Yellow,Yellow,Orange,Orange,Orange,Yellow,Yellow,Yellow,Yellow,Yellow,Red,Orange
2021-03-01,Orange,Yellow,Orange,Yellow,Yellow,Yellow,Orange,Orange,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Yellow,White,Orange,Orange
2021-03-05,Orange,Yellow,DarkOrange,Yellow,Yellow,Yellow,Orange,Orange,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Yellow,White,Orange,Orange
2021-03-08,DarkOrange,Yellow,DarkOrange,Orange,Orange,Yellow,Orange,Orange,Orange,Orange,Yellow,Orange,Red,Red,Yellow,Red,Yellow,Yellow,White,Orange,Orange
2021-03-15,Red,Orange,Red,Red,Red,Orange,Red,Orange,Orange,Red,Red,Orange,Red,Red,Red,Red,Orange,Orange,White,Red,Red
2021-03-16,Red,Orange,Red,Red,Red,Orange,Red,Orange,Orange,Red,Red,Orange,Red,Red,Red,Orange,Orange,Orange,White,Red,Red
2021-03-22,Red,Orange,Red,Red,Red,Orange,Red,Orange,Orange,Red,Red,Orange,Orange,Red,Red,Orange,Orange,Orange,Orange,Red,Red
2021-03-29,Red,Red,Red,Red,Red,Orange,Red,Red,Orange,Red,Red,Orange,Orange,Red,Red,Orange,Red,Orange,Orange,Orange,Red
2021-03-30,Red,Red,Red,Red,Red,Orange,Red,Red,Orange,Red,Orange,Orange,Orange,Red,Red,Orange,Red,Orange,Orange,Orange,Red
2021-04-03,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Orange,Red,Red,Red,Red,Red
2021-04-06,Red,Red,Red,Orange,Red,Orange,Red,Red,Orange,Orange,Orange,Orange,Orange,Red,Red,Orange,Red,Orange,Orange,Orange,Orange
2021-04-12,Orange,Red,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Red,Red,Orange,Orange,Orange,Red,Orange,Orange
2021-04-19,Orange,Red,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Red,Orange,Orange,Orange,Red,Orange,Orange
