Regione,Ricoverati,PL_ricoveri,Terapie_intensive,PL_terapie_intensive,PL_TI_attivabili,PL_occupati_perc,TI_occupate_perc
Abruzzo,53,1324,1,177,23,4.003021148036254,0.5649717514124294
Basilicata,24,346,1,88,13,6.9364161849710975,1.1363636363636365
Calabria,89,778,4,169,2,11.439588688946015,2.366863905325444
Campania,270,3832,16,548,195,7.045929018789145,2.9197080291970803
Emilia-Romagna,313,6538,31,760,0,4.78739675741817,4.078947368421053
Friuli Venezia Giulia,27,1277,3,175,0,2.11433046202036,1.7142857142857144
Lazio,441,6421,63,943,243,6.8680890826973995,6.680805938494168
Liguria,54,1675,14,214,12,3.2238805970149254,6.5420560747663545
Lombardia,283,6369,35,1416,114,4.443397707646413,2.4717514124293785
Marche,47,951,6,209,61,4.942166140904311,2.8708133971291865
Molise,4,176,1,39,26,2.272727272727273,2.564102564102564
P.A. Bolzano,11,391,2,100,20,2.813299232736573,2.0
P.A. Trento,14,517,0,90,0,2.7079303675048356,0.0
Piemonte,105,5824,4,628,99,1.8028846153846152,0.6369426751592357
Puglia,113,2731,20,464,0,4.137678506041743,4.310344827586207
Sardegna,119,1602,22,204,16,7.428214731585518,10.784313725490197
Sicilia,448,3167,50,730,196,14.145879381117776,6.8493150684931505
Toscana,262,5033,30,570,37,5.20564275779853,5.263157894736842
Umbria,30,684,1,91,36,4.385964912280701,1.098901098901099
Valle d'Aosta,3,83,0,33,0,3.614457831325301,0.0
Veneto,170,6000,18,1000,0,2.833333333333333,1.7999999999999998
Italia,2880,55719,322,8648,1093,5.168793409788402,3.723404255319149
