data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,categoria_operatori_sanitari_sociosanitari,categoria_personale_non_sanitario,categoria_ospiti_rsa,categoria_60_69,categoria_70_79,categoria_over80,categoria_forze_armate,categoria_personale_scolastico,categoria_soggetti_fragili,categoria_altro,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-04-21,Moderna,ABR,20-29,0,1,1,0,0,0,0,0,0,0,0,0,0,1,ITF,ITF1,13,Abruzzo
2021-04-21,Moderna,ABR,30-39,2,1,0,3,0,0,0,0,0,0,0,0,2,1,ITF,ITF1,13,Abruzzo
2021-04-21,Moderna,ABR,40-49,4,4,1,3,1,0,0,0,0,0,3,0,3,5,ITF,ITF1,13,Abruzzo
2021-04-21,Moderna,ABR,50-59,6,7,0,1,0,0,0,0,0,0,12,0,11,2,ITF,ITF1,13,Abruzzo
2021-04-21,Moderna,ABR,60-69,11,6,1,2,0,1,0,0,0,0,13,0,13,4,ITF,ITF1,13,Abruzzo
2021-04-21,Moderna,ABR,70-79,11,16,1,0,0,0,4,0,0,0,22,0,24,3,ITF,ITF1,13,Abruzzo
2021-04-21,Moderna,ABR,80-89,10,18,0,0,2,0,0,4,0,0,22,0,24,4,ITF,ITF1,13,Abruzzo
2021-04-21,Moderna,ABR,90+,8,11,0,0,1,0,0,2,0,0,16,0,18,1,ITF,ITF1,13,Abruzzo
2021-04-21,Pfizer/BioNTech,ABR,16-19,23,12,0,0,0,0,0,0,0,0,33,2,23,12,ITF,ITF1,13,Abruzzo
2021-04-21,Pfizer/BioNTech,ABR,20-29,61,57,5,1,0,0,0,0,0,0,107,5,71,47,ITF,ITF1,13,Abruzzo
2021-04-21,Pfizer/BioNTech,ABR,30-39,101,106,14,7,0,0,0,0,0,0,179,7,146,61,ITF,ITF1,13,Abruzzo
2021-04-21,Pfizer/BioNTech,ABR,40-49,144,164,13,6,0,0,0,0,2,3,265,19,219,89,ITF,ITF1,13,Abruzzo
2021-04-21,Pfizer/BioNTech,ABR,50-59,226,254,8,5,0,0,0,0,1,2,437,27,357,123,ITF,ITF1,13,Abruzzo
2021-04-21,Pfizer/BioNTech,ABR,60-69,338,324,6,2,1,60,0,0,0,4,589,0,509,153,ITF,ITF1,13,Abruzzo
2021-04-21,Pfizer/BioNTech,ABR,70-79,337,323,1,3,0,0,96,0,0,0,559,1,456,204,ITF,ITF1,13,Abruzzo
2021-04-21,Pfizer/BioNTech,ABR,80-89,467,568,0,4,5,0,0,907,1,0,118,0,150,885,ITF,ITF1,13,Abruzzo
2021-04-21,Pfizer/BioNTech,ABR,90+,40,91,0,0,2,0,0,89,0,0,40,0,54,77,ITF,ITF1,13,Abruzzo
2021-04-21,Vaxzevria (AstraZeneca),ABR,16-19,1,0,0,0,0,0,0,0,0,0,1,0,1,0,ITF,ITF1,13,Abruzzo
2021-04-21,Vaxzevria (AstraZeneca),ABR,20-29,10,1,4,2,0,0,0,0,0,0,2,3,11,0,ITF,ITF1,13,Abruzzo
2021-04-21,Vaxzevria (AstraZeneca),ABR,30-39,15,3,1,3,0,0,0,0,0,0,3,11,18,0,ITF,ITF1,13,Abruzzo
2021-04-21,Vaxzevria (AstraZeneca),ABR,40-49,22,10,2,6,0,0,0,0,0,1,4,19,32,0,ITF,ITF1,13,Abruzzo
2021-04-21,Vaxzevria (AstraZeneca),ABR,50-59,20,13,1,3,0,0,0,0,3,0,12,14,33,0,ITF,ITF1,13,Abruzzo
2021-04-21,Vaxzevria (AstraZeneca),ABR,60-69,559,494,1,1,1,925,0,0,0,3,118,4,1053,0,ITF,ITF1,13,Abruzzo
2021-04-21,Vaxzevria (AstraZeneca),ABR,70-79,649,752,0,0,0,0,1372,0,2,0,26,1,1398,3,ITF,ITF1,13,Abruzzo
2021-04-21,Vaxzevria (AstraZeneca),ABR,80-89,6,12,0,0,0,0,0,17,0,0,1,0,18,0,ITF,ITF1,13,Abruzzo
