data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,categoria_operatori_sanitari_sociosanitari,categoria_personale_non_sanitario,categoria_ospiti_rsa,categoria_60_69,categoria_70_79,categoria_over80,categoria_forze_armate,categoria_personale_scolastico,categoria_soggetti_fragili,categoria_altro,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-04-21,Moderna,CAL,20-29,11,17,5,1,0,0,0,0,12,1,8,1,18,10,ITF,ITF6,18,Calabria
2021-04-21,Moderna,CAL,30-39,10,10,5,5,0,0,0,0,1,1,7,1,10,10,ITF,ITF6,18,Calabria
2021-04-21,Moderna,CAL,40-49,12,23,3,1,0,0,0,0,2,7,21,1,13,22,ITF,ITF6,18,Calabria
2021-04-21,Moderna,CAL,50-59,47,44,5,1,0,0,0,0,1,3,78,3,23,68,ITF,ITF6,18,Calabria
2021-04-21,Moderna,CAL,60-69,70,65,1,0,1,20,0,0,1,3,109,0,40,95,ITF,ITF6,18,Calabria
2021-04-21,Moderna,CAL,70-79,100,66,0,1,0,0,40,0,0,0,125,0,55,111,ITF,ITF6,18,Calabria
2021-04-21,Moderna,CAL,80-89,167,221,0,0,16,0,0,303,1,0,68,0,32,356,ITF,ITF6,18,Calabria
2021-04-21,Moderna,CAL,90+,17,46,0,0,7,0,0,46,0,0,10,0,4,59,ITF,ITF6,18,Calabria
2021-04-21,Pfizer/BioNTech,CAL,16-19,19,5,0,1,0,0,0,0,0,0,22,1,18,6,ITF,ITF6,18,Calabria
2021-04-21,Pfizer/BioNTech,CAL,20-29,78,85,34,8,1,0,0,0,1,0,102,17,110,53,ITF,ITF6,18,Calabria
2021-04-21,Pfizer/BioNTech,CAL,30-39,142,164,50,33,2,0,0,0,7,15,169,30,195,111,ITF,ITF6,18,Calabria
2021-04-21,Pfizer/BioNTech,CAL,40-49,216,282,32,31,1,0,0,0,7,45,351,31,351,147,ITF,ITF6,18,Calabria
2021-04-21,Pfizer/BioNTech,CAL,50-59,478,559,48,44,7,0,0,0,7,88,796,47,694,343,ITF,ITF6,18,Calabria
2021-04-21,Pfizer/BioNTech,CAL,60-69,928,837,23,16,9,233,0,0,0,53,1418,13,1311,454,ITF,ITF6,18,Calabria
2021-04-21,Pfizer/BioNTech,CAL,70-79,1141,1043,7,3,16,0,673,0,4,0,1478,3,1725,459,ITF,ITF6,18,Calabria
2021-04-21,Pfizer/BioNTech,CAL,80-89,420,553,5,1,98,0,0,631,3,0,235,0,476,497,ITF,ITF6,18,Calabria
2021-04-21,Pfizer/BioNTech,CAL,90+,62,140,0,1,36,0,0,128,0,0,37,0,100,102,ITF,ITF6,18,Calabria
2021-04-21,Vaxzevria (AstraZeneca),CAL,16-19,1,2,1,2,0,0,0,0,0,0,0,0,3,0,ITF,ITF6,18,Calabria
2021-04-21,Vaxzevria (AstraZeneca),CAL,20-29,134,27,17,11,0,0,0,0,113,3,4,13,161,0,ITF,ITF6,18,Calabria
2021-04-21,Vaxzevria (AstraZeneca),CAL,30-39,32,14,7,8,0,0,0,0,5,4,9,13,46,0,ITF,ITF6,18,Calabria
2021-04-21,Vaxzevria (AstraZeneca),CAL,40-49,53,15,10,13,0,0,0,0,8,3,12,22,67,1,ITF,ITF6,18,Calabria
2021-04-21,Vaxzevria (AstraZeneca),CAL,50-59,40,26,3,16,0,0,0,0,7,4,15,21,66,0,ITF,ITF6,18,Calabria
2021-04-21,Vaxzevria (AstraZeneca),CAL,60-69,728,665,3,3,0,1329,0,0,3,4,47,4,1391,2,ITF,ITF6,18,Calabria
2021-04-21,Vaxzevria (AstraZeneca),CAL,70-79,839,757,1,0,0,0,1568,0,4,0,23,0,1596,0,ITF,ITF6,18,Calabria
2021-04-21,Vaxzevria (AstraZeneca),CAL,80-89,6,0,0,0,1,0,0,5,0,0,0,0,5,1,ITF,ITF6,18,Calabria
2021-04-21,Vaxzevria (AstraZeneca),CAL,90+,1,0,0,0,0,0,0,1,0,0,0,0,1,0,ITF,ITF6,18,Calabria
