data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,categoria_operatori_sanitari_sociosanitari,categoria_personale_non_sanitario,categoria_ospiti_rsa,categoria_60_69,categoria_70_79,categoria_over80,categoria_forze_armate,categoria_personale_scolastico,categoria_soggetti_fragili,categoria_altro,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-04-21,Moderna,CAM,16-19,2,0,0,0,0,0,0,0,0,0,2,0,2,0,ITF,ITF3,15,Campania
2021-04-21,Moderna,CAM,20-29,13,5,0,0,1,0,0,0,0,0,13,4,14,4,ITF,ITF3,15,Campania
2021-04-21,Moderna,CAM,30-39,16,18,1,1,0,0,0,0,1,5,25,1,30,4,ITF,ITF3,15,Campania
2021-04-21,Moderna,CAM,40-49,29,31,0,1,0,0,0,0,1,4,53,1,54,6,ITF,ITF3,15,Campania
2021-04-21,Moderna,CAM,50-59,35,44,2,1,0,0,0,0,2,3,68,3,74,5,ITF,ITF3,15,Campania
2021-04-21,Moderna,CAM,60-69,131,141,3,0,0,128,0,0,0,5,136,0,262,10,ITF,ITF3,15,Campania
2021-04-21,Moderna,CAM,70-79,245,311,0,0,0,0,380,0,0,1,174,1,544,12,ITF,ITF3,15,Campania
2021-04-21,Moderna,CAM,80-89,322,583,0,0,0,0,0,814,0,0,91,0,526,379,ITF,ITF3,15,Campania
2021-04-21,Moderna,CAM,90+,81,255,0,0,0,0,0,318,0,0,18,0,229,107,ITF,ITF3,15,Campania
2021-04-21,Pfizer/BioNTech,CAM,16-19,71,48,0,0,0,0,0,0,0,0,118,1,71,48,ITF,ITF3,15,Campania
2021-04-21,Pfizer/BioNTech,CAM,20-29,270,245,11,5,0,0,0,0,4,4,463,28,232,283,ITF,ITF3,15,Campania
2021-04-21,Pfizer/BioNTech,CAM,30-39,379,370,20,7,0,0,0,0,9,27,637,49,352,397,ITF,ITF3,15,Campania
2021-04-21,Pfizer/BioNTech,CAM,40-49,646,668,16,5,1,0,0,0,20,43,1194,35,602,712,ITF,ITF3,15,Campania
2021-04-21,Pfizer/BioNTech,CAM,50-59,1271,1212,26,7,0,0,0,0,18,79,2306,47,1119,1364,ITF,ITF3,15,Campania
2021-04-21,Pfizer/BioNTech,CAM,60-69,2276,1968,15,4,0,378,0,0,11,65,3770,1,1798,2446,ITF,ITF3,15,Campania
2021-04-21,Pfizer/BioNTech,CAM,70-79,3242,3263,1,0,0,0,4412,0,0,4,2087,1,1963,4542,ITF,ITF3,15,Campania
2021-04-21,Pfizer/BioNTech,CAM,80-89,952,1294,0,0,0,0,0,2051,0,0,195,0,665,1581,ITF,ITF3,15,Campania
2021-04-21,Pfizer/BioNTech,CAM,90+,147,301,0,0,0,0,0,429,0,0,19,0,216,232,ITF,ITF3,15,Campania
2021-04-21,Vaxzevria (AstraZeneca),CAM,16-19,1,2,0,0,0,0,0,0,0,0,2,1,3,0,ITF,ITF3,15,Campania
2021-04-21,Vaxzevria (AstraZeneca),CAM,20-29,17,9,0,3,0,0,0,0,1,0,16,6,26,0,ITF,ITF3,15,Campania
2021-04-21,Vaxzevria (AstraZeneca),CAM,30-39,20,7,1,2,0,0,0,0,2,1,15,6,27,0,ITF,ITF3,15,Campania
2021-04-21,Vaxzevria (AstraZeneca),CAM,40-49,19,14,0,3,0,0,0,0,1,2,21,6,33,0,ITF,ITF3,15,Campania
2021-04-21,Vaxzevria (AstraZeneca),CAM,50-59,49,40,0,0,0,0,0,0,8,7,58,16,89,0,ITF,ITF3,15,Campania
2021-04-21,Vaxzevria (AstraZeneca),CAM,60-69,2752,2850,1,2,0,5407,0,0,5,15,172,0,5602,0,ITF,ITF3,15,Campania
2021-04-21,Vaxzevria (AstraZeneca),CAM,70-79,1524,1570,0,0,0,0,3058,0,2,0,34,0,3094,0,ITF,ITF3,15,Campania
2021-04-21,Vaxzevria (AstraZeneca),CAM,80-89,5,9,0,0,0,0,0,10,0,0,4,0,14,0,ITF,ITF3,15,Campania
2021-04-21,Vaxzevria (AstraZeneca),CAM,90+,2,0,0,0,0,0,0,2,0,0,0,0,2,0,ITF,ITF3,15,Campania
