data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,categoria_operatori_sanitari_sociosanitari,categoria_personale_non_sanitario,categoria_ospiti_rsa,categoria_60_69,categoria_70_79,categoria_over80,categoria_forze_armate,categoria_personale_scolastico,categoria_soggetti_fragili,categoria_altro,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-04-21,Pfizer/BioNTech,FVG,16-19,8,4,0,1,0,0,0,0,0,0,11,0,1,11,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Pfizer/BioNTech,FVG,20-29,28,41,17,9,0,0,0,0,0,1,42,0,16,53,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Pfizer/BioNTech,FVG,30-39,32,47,14,11,0,0,0,0,0,0,53,1,11,68,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Pfizer/BioNTech,FVG,40-49,70,88,20,8,1,0,0,0,0,0,129,0,27,131,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Pfizer/BioNTech,FVG,50-59,132,140,21,10,3,0,0,0,0,1,237,0,31,241,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Pfizer/BioNTech,FVG,60-69,218,185,19,11,0,11,0,0,0,0,361,1,36,367,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Pfizer/BioNTech,FVG,70-79,623,510,4,9,9,0,135,0,0,0,976,0,231,902,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Pfizer/BioNTech,FVG,80-89,675,1031,1,0,12,0,0,1619,0,0,74,0,263,1443,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Pfizer/BioNTech,FVG,90+,101,215,0,0,5,0,0,291,0,0,20,0,80,236,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Vaxzevria (AstraZeneca),FVG,20-29,2,0,0,0,0,0,0,0,0,0,2,0,2,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Vaxzevria (AstraZeneca),FVG,40-49,2,3,0,1,0,0,0,0,0,0,4,0,5,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Vaxzevria (AstraZeneca),FVG,50-59,6,5,0,1,0,0,0,0,0,0,10,0,11,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Vaxzevria (AstraZeneca),FVG,60-69,112,108,1,3,0,168,0,0,4,7,37,0,220,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Vaxzevria (AstraZeneca),FVG,70-79,953,1165,0,0,0,0,2106,0,0,0,12,0,2118,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-21,Vaxzevria (AstraZeneca),FVG,80-89,1,1,0,0,0,0,0,2,0,0,0,0,2,0,ITH,ITH4,6,Friuli-Venezia Giulia
