data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,categoria_operatori_sanitari_sociosanitari,categoria_personale_non_sanitario,categoria_ospiti_rsa,categoria_60_69,categoria_70_79,categoria_over80,categoria_forze_armate,categoria_personale_scolastico,categoria_soggetti_fragili,categoria_altro,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-04-21,Moderna,MOL,20-29,1,1,0,0,0,0,0,0,0,0,2,0,1,1,ITF,ITF2,14,Molise
2021-04-21,Moderna,MOL,30-39,2,4,0,0,0,0,0,0,0,1,3,2,3,3,ITF,ITF2,14,Molise
2021-04-21,Moderna,MOL,40-49,0,5,0,0,0,0,0,0,0,3,1,1,1,4,ITF,ITF2,14,Molise
2021-04-21,Moderna,MOL,50-59,5,6,0,0,0,0,0,0,0,3,6,2,7,4,ITF,ITF2,14,Molise
2021-04-21,Moderna,MOL,60-69,46,32,0,0,0,8,0,0,0,13,57,0,63,15,ITF,ITF2,14,Molise
2021-04-21,Moderna,MOL,70-79,43,33,0,0,0,0,4,0,0,0,72,0,67,9,ITF,ITF2,14,Molise
2021-04-21,Moderna,MOL,80-89,95,131,0,0,0,0,0,225,0,0,1,0,2,224,ITF,ITF2,14,Molise
2021-04-21,Moderna,MOL,90+,1,4,0,0,0,0,0,5,0,0,0,0,1,4,ITF,ITF2,14,Molise
2021-04-21,Pfizer/BioNTech,MOL,16-19,0,1,0,0,0,0,0,0,0,0,1,0,0,1,ITF,ITF2,14,Molise
2021-04-21,Pfizer/BioNTech,MOL,20-29,5,7,4,0,0,0,0,0,0,0,8,0,1,11,ITF,ITF2,14,Molise
2021-04-21,Pfizer/BioNTech,MOL,30-39,3,11,1,0,0,0,0,0,0,0,13,0,1,13,ITF,ITF2,14,Molise
2021-04-21,Pfizer/BioNTech,MOL,40-49,11,36,7,0,0,0,0,0,0,2,38,0,1,46,ITF,ITF2,14,Molise
2021-04-21,Pfizer/BioNTech,MOL,50-59,36,58,1,0,0,0,0,0,3,2,87,1,3,91,ITF,ITF2,14,Molise
2021-04-21,Pfizer/BioNTech,MOL,60-69,100,105,5,2,0,3,0,0,2,2,189,2,3,202,ITF,ITF2,14,Molise
2021-04-21,Pfizer/BioNTech,MOL,70-79,61,80,1,3,1,0,25,0,1,0,110,0,6,135,ITF,ITF2,14,Molise
2021-04-21,Pfizer/BioNTech,MOL,80-89,12,23,0,0,0,0,0,29,0,0,6,0,0,35,ITF,ITF2,14,Molise
2021-04-21,Pfizer/BioNTech,MOL,90+,7,15,0,0,0,0,0,20,0,0,2,0,1,21,ITF,ITF2,14,Molise
2021-04-21,Vaxzevria (AstraZeneca),MOL,60-69,2,4,0,0,0,6,0,0,0,0,0,0,6,0,ITF,ITF2,14,Molise
2021-04-21,Vaxzevria (AstraZeneca),MOL,70-79,258,330,0,0,0,0,585,0,0,0,0,3,587,1,ITF,ITF2,14,Molise
