data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,categoria_operatori_sanitari_sociosanitari,categoria_personale_non_sanitario,categoria_ospiti_rsa,categoria_60_69,categoria_70_79,categoria_over80,categoria_forze_armate,categoria_personale_scolastico,categoria_soggetti_fragili,categoria_altro,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-04-21,Moderna,PUG,16-19,4,2,0,0,0,0,0,0,0,0,5,1,6,0,ITF,ITF4,16,Puglia
2021-04-21,Moderna,PUG,20-29,17,31,17,4,1,0,0,0,0,0,24,2,27,21,ITF,ITF4,16,Puglia
2021-04-21,Moderna,PUG,30-39,25,55,32,4,3,0,0,0,1,6,31,3,37,43,ITF,ITF4,16,Puglia
2021-04-21,Moderna,PUG,40-49,63,86,44,11,8,0,0,0,4,18,58,6,75,74,ITF,ITF4,16,Puglia
2021-04-21,Moderna,PUG,50-59,114,118,26,10,6,0,0,0,14,41,119,16,144,88,ITF,ITF4,16,Puglia
2021-04-21,Moderna,PUG,60-69,176,150,13,7,5,149,0,0,1,25,126,0,274,52,ITF,ITF4,16,Puglia
2021-04-21,Moderna,PUG,70-79,230,251,8,1,0,0,280,0,0,1,191,0,465,16,ITF,ITF4,16,Puglia
2021-04-21,Moderna,PUG,80-89,101,184,0,0,1,0,0,201,0,0,83,0,226,59,ITF,ITF4,16,Puglia
2021-04-21,Moderna,PUG,90+,29,83,0,0,4,0,0,67,0,0,41,0,103,9,ITF,ITF4,16,Puglia
2021-04-21,Pfizer/BioNTech,PUG,16-19,25,20,0,0,0,0,0,0,0,0,45,0,42,3,ITF,ITF4,16,Puglia
2021-04-21,Pfizer/BioNTech,PUG,20-29,115,129,69,15,3,0,0,0,1,10,140,6,152,92,ITF,ITF4,16,Puglia
2021-04-21,Pfizer/BioNTech,PUG,30-39,172,171,111,29,2,0,0,0,6,27,159,9,183,160,ITF,ITF4,16,Puglia
2021-04-21,Pfizer/BioNTech,PUG,40-49,252,289,123,47,2,0,0,0,31,50,270,18,318,223,ITF,ITF4,16,Puglia
2021-04-21,Pfizer/BioNTech,PUG,50-59,365,412,117,60,8,0,0,0,38,91,431,32,466,311,ITF,ITF4,16,Puglia
2021-04-21,Pfizer/BioNTech,PUG,60-69,460,494,77,28,5,299,0,0,4,90,451,0,684,270,ITF,ITF4,16,Puglia
2021-04-21,Pfizer/BioNTech,PUG,70-79,1464,1576,31,0,2,0,2065,0,2,5,934,1,2896,144,ITF,ITF4,16,Puglia
2021-04-21,Pfizer/BioNTech,PUG,80-89,886,1128,1,1,3,0,0,1929,4,1,75,0,290,1724,ITF,ITF4,16,Puglia
2021-04-21,Pfizer/BioNTech,PUG,90+,129,233,0,0,4,0,0,330,0,0,27,1,70,292,ITF,ITF4,16,Puglia
2021-04-21,Vaxzevria (AstraZeneca),PUG,16-19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,ITF,ITF4,16,Puglia
2021-04-21,Vaxzevria (AstraZeneca),PUG,20-29,3,1,0,0,0,0,0,0,0,1,1,2,4,0,ITF,ITF4,16,Puglia
2021-04-21,Vaxzevria (AstraZeneca),PUG,30-39,8,11,0,2,0,0,0,0,0,5,7,5,19,0,ITF,ITF4,16,Puglia
2021-04-21,Vaxzevria (AstraZeneca),PUG,40-49,12,6,2,1,1,0,0,0,0,3,8,3,18,0,ITF,ITF4,16,Puglia
2021-04-21,Vaxzevria (AstraZeneca),PUG,50-59,29,16,1,12,1,0,0,0,3,0,19,9,45,0,ITF,ITF4,16,Puglia
2021-04-21,Vaxzevria (AstraZeneca),PUG,60-69,592,783,1,0,0,1340,0,0,1,1,30,2,1374,1,ITF,ITF4,16,Puglia
2021-04-21,Vaxzevria (AstraZeneca),PUG,70-79,4430,4923,0,1,0,0,9334,0,4,2,11,1,9346,7,ITF,ITF4,16,Puglia
2021-04-21,Vaxzevria (AstraZeneca),PUG,80-89,7,12,0,0,0,0,0,19,0,0,0,0,19,0,ITF,ITF4,16,Puglia
