data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,categoria_operatori_sanitari_sociosanitari,categoria_personale_non_sanitario,categoria_ospiti_rsa,categoria_60_69,categoria_70_79,categoria_over80,categoria_forze_armate,categoria_personale_scolastico,categoria_soggetti_fragili,categoria_altro,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-04-21,Moderna,SIC,16-19,2,3,0,0,0,0,0,0,0,0,5,0,4,1,ITG,ITG1,19,Sicilia
2021-04-21,Moderna,SIC,20-29,14,15,3,2,0,0,0,0,0,1,21,2,17,12,ITG,ITG1,19,Sicilia
2021-04-21,Moderna,SIC,30-39,21,19,6,6,0,0,0,0,0,1,25,2,20,20,ITG,ITG1,19,Sicilia
2021-04-21,Moderna,SIC,40-49,29,47,8,4,0,0,0,0,0,4,56,4,64,12,ITG,ITG1,19,Sicilia
2021-04-21,Moderna,SIC,50-59,60,69,5,10,0,0,0,0,0,7,96,11,90,39,ITG,ITG1,19,Sicilia
2021-04-21,Moderna,SIC,60-69,171,169,5,4,11,123,0,0,0,1,195,1,299,41,ITG,ITG1,19,Sicilia
2021-04-21,Moderna,SIC,70-79,195,224,2,0,16,0,129,0,0,0,271,1,351,68,ITG,ITG1,19,Sicilia
2021-04-21,Moderna,SIC,80-89,166,289,0,0,49,0,0,297,1,0,108,0,349,106,ITG,ITG1,19,Sicilia
2021-04-21,Moderna,SIC,90+,78,162,0,0,37,0,0,151,0,0,52,0,182,58,ITG,ITG1,19,Sicilia
2021-04-21,Pfizer/BioNTech,SIC,16-19,36,40,8,0,0,0,0,0,2,0,61,5,62,14,ITG,ITG1,19,Sicilia
2021-04-21,Pfizer/BioNTech,SIC,20-29,256,288,209,21,7,0,0,0,0,5,272,30,327,217,ITG,ITG1,19,Sicilia
2021-04-21,Pfizer/BioNTech,SIC,30-39,249,333,90,28,2,0,0,0,2,8,418,34,461,121,ITG,ITG1,19,Sicilia
2021-04-21,Pfizer/BioNTech,SIC,40-49,493,619,72,42,10,0,0,0,8,22,905,53,827,285,ITG,ITG1,19,Sicilia
2021-04-21,Pfizer/BioNTech,SIC,50-59,1027,1048,75,44,7,0,0,0,8,54,1792,95,1500,575,ITG,ITG1,19,Sicilia
2021-04-21,Pfizer/BioNTech,SIC,60-69,2356,2078,40,25,9,461,0,0,2,15,3880,2,3374,1060,ITG,ITG1,19,Sicilia
2021-04-21,Pfizer/BioNTech,SIC,70-79,3044,2817,9,12,12,0,679,0,2,0,5146,1,3687,2174,ITG,ITG1,19,Sicilia
2021-04-21,Pfizer/BioNTech,SIC,80-89,1433,1967,3,1,91,0,0,2800,3,0,500,2,2263,1137,ITG,ITG1,19,Sicilia
2021-04-21,Pfizer/BioNTech,SIC,90+,212,349,0,0,49,0,0,415,0,0,97,0,402,159,ITG,ITG1,19,Sicilia
2021-04-21,Vaxzevria (AstraZeneca),SIC,20-29,1,0,0,0,0,0,0,0,0,0,1,0,1,0,ITG,ITG1,19,Sicilia
2021-04-21,Vaxzevria (AstraZeneca),SIC,30-39,2,1,0,2,0,0,0,0,0,0,0,1,3,0,ITG,ITG1,19,Sicilia
2021-04-21,Vaxzevria (AstraZeneca),SIC,40-49,1,1,0,0,0,0,0,0,0,1,1,0,2,0,ITG,ITG1,19,Sicilia
2021-04-21,Vaxzevria (AstraZeneca),SIC,50-59,1,3,0,0,0,0,0,0,0,0,2,2,4,0,ITG,ITG1,19,Sicilia
2021-04-21,Vaxzevria (AstraZeneca),SIC,60-69,508,621,1,0,0,1072,0,0,1,1,52,2,1129,0,ITG,ITG1,19,Sicilia
2021-04-21,Vaxzevria (AstraZeneca),SIC,70-79,403,423,1,0,0,0,790,0,0,0,35,0,826,0,ITG,ITG1,19,Sicilia
2021-04-21,Vaxzevria (AstraZeneca),SIC,80-89,4,1,0,0,0,0,0,4,0,0,1,0,4,1,ITG,ITG1,19,Sicilia
